region,province,category,place_type,activities,case_type,precision@10,recall@10,f1@10,hit_rate@10,relevant_count
ภาคเหนือ,,กิจกรรมพิเศษ/นันทนาการ,ธีมปาร์ค,"['เล่นเครื่องเล่น', 'พักผ่อน']",ไม่เลือกจังหวัด,0.6,1.0,0.7499999999999999,1,6
ภาคเหนือ,,ธรรมชาติ,จุดชมวิว,"['ชมวิว', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.10101010101010101,0.1834862385321101,1,99
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,ศูนย์วัฒนธรรม,['ท่องเที่ยว'],ไม่เลือกจังหวัด,0.6,1.0,0.7499999999999999,1,6
ภาคใต้,,กิจกรรมพิเศษ/นันทนาการ,ตลาด/ช้อปปิ้ง,"['ช้อปปิ้ง', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.30303030303030304,0.4651162790697675,1,33
ภาคเหนือ,,ธรรมชาติ,ทุ่งดอกไม้และพืชพันธุ์,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.37037037037037035,0.5405405405405406,1,27
ภาคใต้,,กิจกรรมพิเศษ/นันทนาการ,ศูนย์ประชุมฯ,['ท่องเที่ยว'],ไม่เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,พิพิธภัณฑ์,"['เรียนรู้', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.11904761904761904,0.21276595744680848,1,84
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,ชุมชน,"['เรียนรู้วัฒนธรรม', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.12048192771084337,0.21505376344086022,1,83
ภาคใต้,,กิจกรรมพิเศษ/นันทนาการ,ศูนย์กีฬา,['เล่นกีฬา'],ไม่เลือกจังหวัด,1.0,0.30303030303030304,0.4651162790697675,1,33
ภาคใต้,,กิจกรรมพิเศษ/นันทนาการ,สุขภาพและสปา,"['พักผ่อน', 'สปา']",ไม่เลือกจังหวัด,1.0,0.625,0.7692307692307693,1,16
