case_id,region,province,category,type,activities,precision_at_10
16,ภาคเหนือ,พะเยา,ธรรมชาติ,ทะเลสาบ,"พักผ่อน, ถ่ายรูป",0.0
17,ภาคเหนือ,นครสวรรค์,ธรรมชาติ,สวนสาธารณะ/สวนหย่อม,"พักผ่อน, ถ่ายรูป",0.0
18,ภาคเหนือ,อุตรดิตถ์,ธรรมชาติ,เขื่อน/อ่างเก็บน้ำ,"ชมวิว, พักผ่อน",0.0
19,ภาคเหนือ,อุทัยธานี,ประวัติศาสตร์และวัฒนธรรม,ตลาดน้ำ/ตลาดโบราณ,"ช้อปปิ้ง, เรียนรู้วัฒนธรรม",0.0
20,ภาคเหนือ,พิจิตร,ประวัติศาสตร์และวัฒนธรรม,วัดและศาสนสถาน,"ไหว้พระ, ถ่ายรูป",0.0
21,ภาคใต้,ภูเก็ต,ธรรมชาติ,อ่าว/หาดทราย/ชายทะเล,"เล่นน้ำ, ถ่ายรูป",0.3
22,ภาคใต้,ภูเก็ต,กิจกรรมพิเศษ/นันทนาการ,โรงละคร/โรงมหรสพ (โชว์),"ท่องเที่ยว, พักผ่อน",0.0
23,ภาคใต้,ภูเก็ต,กิจกรรมพิเศษ/นันทนาการ,ธีมปาร์ค,"เล่นเครื่องเล่น, ถ่ายรูป",0.0
24,ภาคใต้,กระบี่,ธรรมชาติ,หมู่เกาะ,"เล่นน้ำ, ถ่ายรูป",0.3
25,ภาคใต้,กระบี่,ธรรมชาติ,แหล่งปะการังน้ำลึก/น้ำตื้น,"ชมธรรมชาติ, เล่นน้ำ",0.0
26,ภาคใต้,พังงา,ธรรมชาติ,อ่าว/หาดทราย/ชายทะเล,"พักผ่อน, ถ่ายรูป",0.0
27,ภาคใต้,พังงา,ธรรมชาติ,หมู่เกาะ,"เล่นน้ำ, ชมธรรมชาติ",0.0
28,ภาคใต้,สุราษฎร์ธานี,ธรรมชาติ,หมู่เกาะ,"เล่นน้ำ, พักผ่อน",0.0
29,ภาคใต้,สุราษฎร์ธานี,ธรรมชาติ,อุทยานแห่งชาติ,"เดินป่า, ชมธรรมชาติ",1.0
30,ภาคใต้,นครศรีธรรมราช,ประวัติศาสตร์และวัฒนธรรม,วัดและศาสนสถาน,"ไหว้พระ, เรียนรู้ประวัติศาสตร์",0.0
31,ภาคใต้,นครศรีธรรมราช,ธรรมชาติ,น้ำตก,"เล่นน้ำ, พักผ่อน",0.0
32,ภาคใต้,สงขลา,ประวัติศาสตร์และวัฒนธรรม,ตลาด/ช้อปปิ้ง,"ช้อปปิ้ง, ถ่ายรูป",0.9
33,ภาคใต้,สงขลา,ธรรมชาติ,ทะเลสาบ,"ล่องเรือ, พักผ่อน",0.0
34,ภาคใต้,สตูล,ธรรมชาติ,อุทยานแห่งชาติ,"เดินป่า, ชมธรรมชาติ",1.0
35,ภาคใต้,สตูล,ธรรมชาติ,หมู่เกาะ,"เล่นน้ำ, ถ่ายรูป",1.0
36,ภาคใต้,ตรัง,ธรรมชาติ,ถ้ำ,"ชมธรรมชาติ, ถ่ายรูป",0.0
37,ภาคใต้,ตรัง,ธรรมชาติ,อ่าว/หาดทราย/ชายทะเล,"พักผ่อน, เล่นน้ำ",0.0
38,ภาคใต้,ชุมพร,ธรรมชาติ,น้ำตก,"เล่นน้ำ, ถ่ายรูป",1.0
39,ภาคใต้,ชุมพร,ธรรมชาติ,หมู่เกาะ,"เล่นน้ำ, ชมธรรมชาติ",0.0
40,ภาคใต้,ระนอง,ธรรมชาติ,น้ำพุร้อน,"แช่น้ำ, พักผ่อน",1.0
41,ภาคใต้,ระนอง,ธรรมชาติ,พรุ/ป่าชายเลน/พื้นที่ชุ่มน้ำ,"ชมธรรมชาติ, ล่องเรือ",0.0
42,ภาคใต้,พัทลุง,ธรรมชาติ,ทะเลสาบ,"ล่องเรือ, ถ่ายรูป",0.2
43,ภาคใต้,พัทลุง,ธรรมชาติ,เขตห้ามล่าสัตว์ป่า,"ดูสัตว์, ชมธรรมชาติ",0.0
44,ภาคใต้,ปัตตานี,ประวัติศาสตร์และวัฒนธรรม,ศูนย์วัฒนธรรม,"เรียนรู้วัฒนธรรม, ถ่ายรูป",0.1
45,ภาคใต้,ปัตตานี,ประวัติศาสตร์และวัฒนธรรม,ตลาด/ช้อปปิ้ง,"ช้อปปิ้ง, เรียนรู้วัฒนธรรม",0.0
46,ภาคใต้,ยะลา,ธรรมชาติ,น้ำตก,"เล่นน้ำ, พักผ่อน",0.0
47,ภาคใต้,ยะลา,ประวัติศาสตร์และวัฒนธรรม,ศูนย์วัฒนธรรม,"เรียนรู้วัฒนธรรม, ถ่ายรูป",0.1
48,ภาคใต้,นราธิวาส,ประวัติศาสตร์และวัฒนธรรม,วัดและศาสนสถาน,"ไหว้พระ, เรียนรู้วัฒนธรรม",1.0
49,ภาคใต้,นราธิวาส,ธรรมชาติ,อุทยานแห่งชาติ,"เดินป่า, ชมธรรมชาติ",1.0
50,ภาคใต้,กระบี่,กิจกรรมพิเศษ/นันทนาการ,สุขภาพและสปา,"สปา, พักผ่อน",1.0
